"trial.count"	"stimulus"	"study"	"age"	"condition"	"gender"	"yoke_video"	"version"	"side"	"ID"	"choices"	"light"	"which_cup"	"correct_choice"	"time_win"	"roi_c1"	"roi_c2"	"roi_c3"	"roi_cor"
2	"F3_wom3_cup2-11"	"ETPIP"	"M24"	"adul"	"0"	"f3"	"wom3"	"rig"	"246988"	"223322321"	"light"	"2"	1	"time4"	NA	NA	NA	NA
3	"F3_wom3_cup1-13"	"ETPIP"	"M24"	"adul"	"0"	"f3"	"wom3"	"rig"	"246988"	"223322321"	"light"	"3"	0	"time4"	NA	NA	NA	NA
4	"F3_wom3_cup3-15"	"ETPIP"	"M24"	"adul"	"0"	"f3"	"wom3"	"rig"	"246988"	"223322321"	"light"	"3"	1	"time4"	NA	NA	NA	NA
5	"F3_wom3_cup2-17"	"ETPIP"	"M24"	"adul"	"0"	"f3"	"wom3"	"rig"	"246988"	"223322321"	"light"	"2"	1	"time4"	NA	NA	NA	NA
6	"F3_wom3_cup1-19"	"ETPIP"	"M24"	"adul"	"0"	"f3"	"wom3"	"rig"	"246988"	"223322321"	"light"	"2"	0	"time4"	NA	NA	NA	NA
7	"F3_wom3_cup3-21"	"ETPIP"	"M24"	"adul"	"0"	"f3"	"wom3"	"rig"	"246988"	"223322321"	"light"	"3"	1	"time4"	NA	NA	NA	NA
8	"F3_wom3_cup2-23"	"ETPIP"	"M24"	"adul"	"0"	"f3"	"wom3"	"rig"	"246988"	"223322321"	"light"	"2"	1	"time4"	NA	NA	NA	NA
9	"F3_wom3_cup1-25"	"ETPIP"	"M24"	"adul"	"0"	"f3"	"wom3"	"rig"	"246988"	"223322321"	"light"	"1"	1	"time4"	1	NA	0	1
1	"M1_man1_cup1-9"	"ETPIP"	"M24"	"adul"	"1"	"m1"	"man1"	"lef"	"247026"	"123123132"	"light"	"1"	1	"time4"	NA	NA	NA	NA
2	"M1_man1_cup2-11"	"ETPIP"	"M24"	"adul"	"1"	"m1"	"man1"	"lef"	"247026"	"123123132"	"light"	"2"	1	"time4"	NA	NA	NA	NA
3	"M1_man1_cup3-13"	"ETPIP"	"M24"	"adul"	"1"	"m1"	"man1"	"lef"	"247026"	"123123132"	"light"	"3"	1	"time4"	NA	NA	NA	NA
4	"M1_man1_cup1-15"	"ETPIP"	"M24"	"adul"	"1"	"m1"	"man1"	"lef"	"247026"	"123123132"	"light"	"1"	1	"time4"	NA	NA	NA	NA
5	"M1_man1_cup2-17"	"ETPIP"	"M24"	"adul"	"1"	"m1"	"man1"	"lef"	"247026"	"123123132"	"light"	"2"	1	"time4"	NA	NA	NA	NA
6	"M1_man1_cup3-19"	"ETPIP"	"M24"	"adul"	"1"	"m1"	"man1"	"lef"	"247026"	"123123132"	"light"	"3"	1	"time4"	NA	NA	NA	NA
7	"M1_man1_cup1-21"	"ETPIP"	"M24"	"adul"	"1"	"m1"	"man1"	"lef"	"247026"	"123123132"	"light"	"1"	1	"time4"	NA	NA	NA	NA
8	"M1_man1_cup3-23"	"ETPIP"	"M24"	"adul"	"1"	"m1"	"man1"	"lef"	"247026"	"123123132"	"light"	"3"	1	"time4"	NA	NA	NA	NA
9	"M1_man1_cup2-25"	"ETPIP"	"M24"	"adul"	"1"	"m1"	"man1"	"lef"	"247026"	"123123132"	"light"	"2"	1	"time4"	NA	NA	NA	NA
1	"M1_man1_cup2-9"	"ETPIP"	"M24"	"adul"	"1"	"m1"	"man1"	"rig"	"245424"	"222112221"	"light"	"2"	1	"time4"	NA	NA	NA	NA
2	"M1_man1_cup3-11"	"ETPIP"	"M24"	"adul"	"1"	"m1"	"man1"	"rig"	"245424"	"222112221"	"light"	"2"	0	"time4"	NA	NA	NA	NA
3	"M1_man1_cup1-13"	"ETPIP"	"M24"	"adul"	"1"	"m1"	"man1"	"rig"	"245424"	"222112221"	"light"	"2"	0	"time4"	NA	NA	NA	NA
4	"M1_man1_cup2-15"	"ETPIP"	"M24"	"adul"	"1"	"m1"	"man1"	"rig"	"245424"	"222112221"	"light"	"1"	0	"time4"	1	NA	0	NA
5	"M1_man1_cup3-17"	"ETPIP"	"M24"	"adul"	"1"	"m1"	"man1"	"rig"	"245424"	"222112221"	"light"	"1"	0	"time4"	NA	NA	NA	NA
6	"M1_man1_cup1-19"	"ETPIP"	"M24"	"adul"	"1"	"m1"	"man1"	"rig"	"245424"	"222112221"	"light"	"2"	0	"time4"	NA	NA	NA	NA
7	"M1_man1_cup3-21"	"ETPIP"	"M24"	"adul"	"1"	"m1"	"man1"	"rig"	"245424"	"222112221"	"light"	"2"	0	"time4"	NA	NA	NA	NA
8	"M1_man1_cup1-23"	"ETPIP"	"M24"	"adul"	"1"	"m1"	"man1"	"rig"	"245424"	"222112221"	"light"	"2"	0	"time4"	NA	NA	NA	NA
9	"M1_man1_cup2-25"	"ETPIP"	"M24"	"adul"	"1"	"m1"	"man1"	"rig"	"245424"	"222112221"	"light"	"1"	0	"time4"	NA	NA	NA	NA
1	"M3_man3_cup2-9"	"ETPIP"	"M24"	"adul"	"1"	"m3"	"man3"	"lef"	"244951"	"211333223"	"darks"	"2"	1	"time4"	NA	NA	NA	NA
2	"M3_man3_cup1-11"	"ETPIP"	"M24"	"adul"	"1"	"m3"	"man3"	"lef"	"244951"	"211333223"	"darks"	"1"	1	"time4"	NA	NA	NA	NA
3	"M3_man3_cup3-13"	"ETPIP"	"M24"	"adul"	"1"	"m3"	"man3"	"lef"	"244951"	"211333223"	"darks"	"1"	0	"time4"	NA	NA	NA	NA
4	"M3_man3_cup2-15"	"ETPIP"	"M24"	"adul"	"1"	"m3"	"man3"	"lef"	"244951"	"211333223"	"darks"	"3"	0	"time4"	NA	NA	NA	NA
5	"M3_man3_cup3-17"	"ETPIP"	"M24"	"adul"	"1"	"m3"	"man3"	"lef"	"244951"	"211333223"	"darks"	"3"	1	"time4"	NA	NA	NA	NA
6	"M3_man3_cup1-19"	"ETPIP"	"M24"	"adul"	"1"	"m3"	"man3"	"lef"	"244951"	"211333223"	"darks"	"3"	0	"time4"	NA	NA	NA	NA
7	"M3_man3_cup2-21"	"ETPIP"	"M24"	"adul"	"1"	"m3"	"man3"	"lef"	"244951"	"211333223"	"darks"	"2"	1	"time4"	NA	NA	NA	NA
8	"M3_man3_cup1-23"	"ETPIP"	"M24"	"adul"	"1"	"m3"	"man3"	"lef"	"244951"	"211333223"	"darks"	"2"	0	"time4"	NA	NA	NA	NA
9	"M3_man3_cup3-25"	"ETPIP"	"M24"	"adul"	"1"	"m3"	"man3"	"lef"	"244951"	"211333223"	"darks"	"3"	1	"time4"	NA	NA	NA	NA
1	"M3_man3_cup1-9"	"ETPIP"	"M24"	"adul"	"1"	"m3"	"man3"	"lef"	"245880"	"123231223"	"light"	"1"	1	"time4"	1	NA	0	1
2	"M3_man3_cup2-11"	"ETPIP"	"M24"	"adul"	"1"	"m3"	"man3"	"lef"	"245880"	"123231223"	"light"	"2"	1	"time4"	NA	NA	NA	NA
3	"M3_man3_cup3-13"	"ETPIP"	"M24"	"adul"	"1"	"m3"	"man3"	"lef"	"245880"	"123231223"	"light"	"3"	1	"time4"	0.931034482758621	NA	0.682352941176471	0.682352941176471
4	"M3_man3_cup2-15"	"ETPIP"	"M24"	"adul"	"1"	"m3"	"man3"	"lef"	"245880"	"123231223"	"light"	"2"	1	"time4"	NA	NA	NA	NA
5	"M3_man3_cup3-17"	"ETPIP"	"M24"	"adul"	"1"	"m3"	"man3"	"lef"	"245880"	"123231223"	"light"	"3"	1	"time4"	1	NA	0	0
6	"M3_man3_cup1-19"	"ETPIP"	"M24"	"adul"	"1"	"m3"	"man3"	"lef"	"245880"	"123231223"	"light"	"1"	1	"time4"	1	NA	0	1
7	"M3_man3_cup2-21"	"ETPIP"	"M24"	"adul"	"1"	"m3"	"man3"	"lef"	"245880"	"123231223"	"light"	"2"	1	"time4"	NA	NA	NA	NA
8	"M3_man3_cup1-23"	"ETPIP"	"M24"	"adul"	"1"	"m3"	"man3"	"lef"	"245880"	"123231223"	"light"	"2"	0	"time4"	1	NA	0	1
9	"M3_man3_cup3-25"	"ETPIP"	"M24"	"adul"	"1"	"m3"	"man3"	"lef"	"245880"	"123231223"	"light"	"3"	1	"time4"	0.909090909090909	NA	0.523809523809524	0.523809523809524
1	"F1_gir1_cup2-9"	"ETPIP"	"M24"	"peer"	"0"	"f1"	"gir1"	"lef"	"245554"	"213132123"	"darks"	"2"	1	"time4"	NA	NA	NA	NA
2	"F1_gir1_cup1-11"	"ETPIP"	"M24"	"peer"	"0"	"f1"	"gir1"	"lef"	"245554"	"213132123"	"darks"	"1"	1	"time4"	1	NA	0	1
